iter	Passed	Remaining
811	11029	8108
812	11042	8094
813	11056	8081
814	11070	8068
815	11083	8054
816	11096	8040
817	11108	8026
818	11121	8012
819	11135	7998
820	11148	7984
821	11162	7971
822	11176	7957
823	11189	7944
824	11203	7931
825	11218	7917
826	11231	7903
827	11244	7890
828	11258	7876
829	11272	7863
830	11286	7850
831	11299	7836
832	11313	7823
833	11326	7808
834	11339	7795
835	11353	7781
836	11367	7768
837	11381	7755
838	11394	7741
839	11409	7728
840	11422	7714
841	11435	7700
842	11448	7686
843	11462	7673
844	11475	7659
845	11488	7645
846	11502	7631
847	11515	7618
848	11529	7604
849	11542	7591
850	11556	7577
851	11569	7563
852	11582	7549
853	11595	7535
854	11609	7522
855	11622	7508
856	11649	7503
857	11668	7493
858	11694	7488
859	11717	7480
860	11739	7471
861	11765	7466
862	11794	7461
863	11813	7451
864	11829	7439
865	11843	7426
866	11856	7412
867	11871	7399
868	11884	7385
869	11898	7371
870	11911	7357
871	11924	7343
872	11936	7328
873	11949	7314
874	11962	7300
875	11974	7286
876	11987	7271
877	12000	7257
878	12013	7243
879	12026	7229
880	12039	7215
881	12051	7200
882	12062	7185
883	12075	7171
884	12086	7156
885	12100	7142
886	12113	7128
887	12126	7114
888	12138	7100
889	12151	7085
890	12163	7071
891	12175	7056
892	12188	7042
893	12201	7028
894	12213	7014
895	12225	6999
896	12238	6985
897	12250	6971
898	12262	6956
899	12274	6942
900	12287	6927
901	12300	6913
902	12312	6899
903	12324	6884
904	12336	6870
905	12349	6856
906	12362	6842
907	12374	6827
908	12387	6813
909	12400	6799
910	12412	6785
911	12424	6771
912	12437	6756
913	12449	6742
914	12462	6728
915	12474	6714
916	12487	6699
917	12499	6685
918	12512	6671
919	12525	6657
920	12538	6643
921	12550	6629
922	12563	6615
923	12576	6601
924	12590	6587
925	12602	6573
926	12614	6559
927	12627	6545
928	12640	6530
929	12653	6517
930	12666	6503
931	12678	6488
932	12692	6475
933	12705	6461
934	12717	6447
935	12730	6433
936	12741	6418
937	12755	6404
938	12767	6390
939	12780	6376
940	12793	6362
941	12806	6348
942	12819	6334
943	12831	6320
944	12844	6306
945	12856	6292
946	12870	6279
947	12886	6266
948	12899	6252
949	12914	6239
950	12927	6225
951	12939	6211
952	12954	6198
953	12967	6184
954	12981	6171
955	12995	6157
956	13008	6144
957	13021	6130
958	13033	6116
959	13046	6102
960	13059	6087
961	13072	6074
962	13087	6061
963	13101	6047
964	13114	6034
965	13128	6020
966	13140	6006
967	13153	5992
968	13165	5978
969	13178	5964
970	13190	5950
971	13202	5935
972	13215	5921
973	13227	5907
974	13241	5893
975	13253	5879
976	13266	5865
977	13278	5851
978	13290	5837
979	13303	5823
980	13315	5809
981	13328	5795
982	13342	5782
983	13356	5768
984	13369	5755
985	13382	5741
986	13395	5727
987	13408	5713
988	13421	5699
989	13434	5685
990	13447	5672
991	13460	5658
992	13473	5644
993	13487	5631
994	13500	5617
995	13514	5603
996	13527	5590
997	13540	5576
998	13554	5562
999	13566	5548
1000	13578	5534
1001	13592	5520
1002	13605	5507
1003	13618	5493
1004	13631	5479
1005	13645	5466
1006	13659	5453
1007	13673	5439
1008	13686	5425
1009	13699	5412
1010	13712	5398
1011	13725	5384
1012	13739	5371
1013	13753	5357
1014	13766	5344
1015	13780	5330
1016	13793	5316
1017	13806	5302
1018	13820	5289
1019	13833	5275
1020	13845	5261
1021	13858	5247
1022	13871	5234
1023	13883	5220
1024	13896	5206
1025	13908	5192
1026	13921	5178
1027	13934	5164
1028	13947	5150
1029	13959	5136
1030	13972	5122
1031	13985	5109
1032	13998	5095
1033	14010	5081
1034	14023	5067
1035	14036	5053
1036	14049	5040
1037	14062	5026
1038	14075	5012
1039	14089	4998
1040	14101	4985
1041	14115	4971
1042	14128	4957
1043	14141	4943
1044	14153	4930
1045	14167	4916
1046	14179	4902
1047	14192	4888
1048	14205	4875
1049	14218	4861
1050	14230	4847
1051	14244	4833
1052	14268	4823
1053	14288	4812
1054	14306	4800
1055	14324	4788
1056	14351	4779
1057	14372	4768
1058	14392	4756
1059	14413	4745
1060	14432	4733
1061	14447	4720
1062	14462	4707
1063	14474	4693
1064	14487	4679
1065	14501	4665
1066	14514	4652
1067	14526	4638
1068	14540	4624
1069	14554	4611
1070	14566	4597
1071	14578	4583
1072	14592	4569
1073	14604	4555
1074	14617	4541
1075	14629	4527
1076	14642	4513
1077	14655	4499
1078	14667	4485
1079	14679	4471
1080	14692	4458
1081	14705	4444
1082	14717	4430
1083	14728	4415
1084	14741	4402
1085	14754	4388
1086	14766	4374
1087	14778	4360
1088	14791	4346
1089	14803	4332
1090	14816	4318
1091	14828	4304
1092	14840	4290
1093	14854	4277
1094	14868	4263
1095	14881	4249
1096	14895	4236
1097	14909	4222
1098	14922	4209
1099	14936	4195
1100	14948	4181
1101	14961	4168
1102	14974	4154
1103	14986	4140
1104	14999	4126
1105	15012	4112
1106	15025	4099
1107	15038	4085
1108	15052	4071
1109	15064	4058
1110	15077	4044
1111	15089	4030
1112	15102	4016
1113	15115	4002
1114	15127	3988
1115	15140	3975
1116	15153	3961
1117	15166	3947
1118	15178	3933
1119	15191	3919
1120	15203	3906
1121	15216	3892
1122	15228	3878
1123	15241	3864
1124	15254	3850
1125	15266	3836
1126	15279	3823
1127	15293	3809
1128	15305	3795
1129	15318	3782
1130	15332	3768
1131	15344	3754
1132	15357	3741
1133	15370	3727
1134	15384	3713
1135	15397	3700
1136	15411	3686
1137	15424	3673
1138	15438	3659
1139	15452	3646
1140	15467	3632
1141	15481	3619
1142	15495	3606
1143	15509	3592
1144	15522	3579
1145	15536	3565
1146	15550	3552
1147	15563	3538
1148	15576	3524
1149	15590	3511
1150	15603	3497
1151	15617	3484
1152	15631	3470
1153	15645	3457
1154	15659	3443
1155	15672	3430
1156	15686	3416
1157	15699	3402
1158	15712	3389
1159	15726	3375
1160	15740	3362
1161	15753	3348
1162	15766	3334
1163	15779	3321
1164	15792	3307
1165	15806	3294
1166	15819	3280
1167	15832	3266
1168	15846	3253
1169	15860	3239
1170	15872	3226
1171	15885	3212
1172	15898	3198
1173	15911	3184
1174	15923	3171
1175	15936	3157
1176	15948	3143
1177	15961	3130
1178	15974	3116
1179	15987	3102
1180	16000	3089
1181	16013	3075
1182	16027	3061
1183	16039	3048
1184	16053	3034
1185	16066	3020
1186	16080	3007
1187	16093	2993
1188	16106	2980
1189	16120	2966
1190	16133	2952
1191	16146	2939
1192	16159	2925
1193	16172	2912
1194	16185	2898
1195	16198	2884
1196	16211	2871
1197	16224	2857
1198	16237	2844
1199	16250	2830
1200	16264	2816
1201	16277	2803
1202	16290	2789
1203	16303	2776
1204	16317	2762
1205	16331	2749
1206	16345	2735
1207	16359	2722
1208	16373	2708
1209	16387	2695
1210	16400	2681
1211	16415	2668
1212	16429	2654
1213	16444	2641
1214	16458	2628
1215	16473	2614
1216	16487	2601
1217	16501	2587
1218	16515	2574
1219	16529	2560
1220	16542	2547
1221	16555	2533
1222	16568	2519
1223	16582	2506
1224	16597	2492
1225	16610	2479
1226	16624	2465
1227	16639	2452
1228	16652	2439
1229	16665	2425
1230	16679	2411
1231	16693	2398
1232	16706	2384
1233	16720	2371
1234	16734	2357
1235	16747	2344
1236	16760	2330
1237	16774	2316
1238	16788	2303
1239	16801	2289
1240	16816	2276
1241	16830	2263
1242	16844	2249
1243	16858	2236
1244	16873	2222
1245	16888	2209
1246	16901	2195
1247	16916	2182
1248	16933	2169
1249	16948	2155
1250	16962	2142
1251	16977	2128
1252	16991	2115
1253	17005	2101
1254	17019	2088
1255	17033	2074
1256	17048	2061
1257	17061	2047
1258	17076	2034
1259	17089	2020
1260	17102	2007
1261	17116	1993
1262	17130	1980
1263	17143	1966
1264	17157	1953
1265	17170	1939
1266	17184	1925
1267	17197	1912
1268	17210	1898
1269	17224	1885
1270	17237	1871
1271	17251	1858
1272	17264	1844
1273	17277	1830
1274	17291	1817
1275	17304	1803
1276	17317	1790
1277	17332	1776
1278	17346	1763
1279	17359	1749
1280	17372	1735
1281	17385	1722
1282	17398	1708
1283	17411	1695
1284	17425	1681
1285	17439	1668
1286	17452	1654
1287	17465	1640
1288	17479	1627
1289	17493	1613
1290	17507	1600
1291	17521	1586
1292	17535	1573
1293	17549	1559
1294	17562	1546
1295	17575	1532
1296	17588	1518
1297	17601	1505
1298	17615	1491
1299	17630	1478
1300	17643	1464
1301	17656	1450
1302	17668	1437
1303	17682	1423
1304	17695	1410
1305	17709	1396
1306	17722	1383
1307	17735	1369
1308	17748	1355
1309	17761	1342
1310	17774	1328
1311	17788	1315
1312	17801	1301
1313	17814	1287
1314	17827	1274
1315	17840	1260
1316	17853	1247
1317	17865	1233
1318	17878	1219
1319	17891	1206
1320	17904	1192
1321	17918	1179
1322	17931	1165
1323	17944	1152
1324	17957	1138
1325	17971	1124
1326	17984	1111
1327	17998	1097
1328	18011	1084
1329	18025	1070
1330	18038	1057
1331	18052	1043
1332	18066	1030
1333	18079	1016
1334	18093	1002
1335	18108	989
1336	18121	975
1337	18135	962
1338	18148	948
1339	18162	935
1340	18176	921
1341	18189	908
1342	18202	894
1343	18215	880
1344	18228	867
1345	18249	854
1346	18268	840
1347	18285	827
1348	18303	814
1349	18321	800
1350	18337	787
1351	18355	773
1352	18373	760
1353	18390	747
1354	18405	733
1355	18426	720
1356	18439	706
1357	18453	693
1358	18466	679
1359	18480	665
1360	18493	652
1361	18507	638
1362	18520	625
1363	18533	611
1364	18546	597
1365	18560	584
1366	18574	570
1367	18587	557
1368	18600	543
1369	18613	529
1370	18627	516
1371	18640	502
1372	18652	489
1373	18665	475
1374	18678	461
1375	18691	448
1376	18704	434
1377	18717	421
1378	18729	407
1379	18741	393
1380	18754	380
1381	18767	366
1382	18780	353
1383	18793	339
1384	18806	325
1385	18818	312
1386	18831	298
1387	18843	285
1388	18856	271
1389	18868	257
1390	18881	244
1391	18895	230
1392	18907	217
1393	18919	203
1394	18932	190
1395	18945	176
1396	18958	162
1397	18970	149
1398	18982	135
1399	18996	122
1400	19008	108
1401	19020	94
1402	19033	81
1403	19046	67
1404	19059	54
1405	19072	40
1406	19085	27
1407	19097	13
1408	19110	0
